OBJECTID;id_arc;id_arc_tra;SHAPE.LEN;geo_shape;geo_point_2d
1346;1611.0;4873;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.391220798156051, 48.83729138299571], [2.393190688984752, 48.83852470718016]]}";48.8379080451, 2.39220574357
1349;1614.0;1527;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.384717491617475, 48.834882642694595], [2.385479840336558, 48.83529300489789]]}";48.8350878238, 2.38509866598
1352;1624.0;916;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.411676017976442, 48.84412385828646], [2.413021157117309, 48.84401655698873]]}";48.8440702076, 2.41234858755
1358;1634.0;4752;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.402234926506492, 48.84522850342119], [2.399106176792292, 48.847331246464975]]}";48.8462798749, 2.40067055165
1360;1636.0;4769;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.400127719116062, 48.83972656078591], [2.39772118981774, 48.83968131350908]]}";48.8397039371, 2.39892445447
580;631.0;5108;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.348467144841134, 48.83563296549014], [2.351189427866752, 48.83645879673265]]}";48.8360458811, 2.34982828635
581;632.0;412;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.369106626071355, 48.852656932419734], [2.3694052516330473, 48.85199078374755]]}";48.8523238581, 2.36925593885
583;634.0;416;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.370567689674489, 48.849794075139236], [2.371353190844403, 48.84799303808311]]}";48.8488935566, 2.37096044026
591;643.0;6015;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.314316336758269, 48.87517505075907], [2.315777672398232, 48.87522185022234]]}";48.8751984505, 2.31504700458
2614;8407.0;1231;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.276060571605529, 48.8451205249987], [2.274657800580837, 48.843490805315085]]}";48.8443056652, 2.27535918609
2615;8408.0;985;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.27183434508163, 48.84050394065269], [2.271635888884026, 48.840504577057786], [2.27145560743201, 48.840460175341455], [2.271088846998744, 48.840389030267886]]}";48.8404596222, 2.2714604861
2621;8414.0;4649;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.261116375647857, 48.83909353804583], [2.2576848339838422, 48.838046249045256]]}";48.8385698935, 2.25940060482
2622;8415.0;6583;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.31473011174462, 48.85493660897735], [2.3145904171402423, 48.85375668131201]]}";48.8543466451, 2.31466026444
2633;8427.0;5628;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.322437796511181, 48.8383226431296], [2.322734641563498, 48.837661038669886]]}";48.8379918409, 2.32258621904
2635;8430.0;5622;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.323378696255918, 48.83606106125732], [2.323619674300851, 48.835469448382575]]}";48.8357652548, 2.32349918528
2646;8442.0;5631;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.32059345612287, 48.84324712621158], [2.320038907234005, 48.84467537519866], [2.320046648677775, 48.844781143915135], [2.320121943783108, 48.84491010800904], [2.320294632467859, 48.84498649372212], [2.3204002881582673, 48.84509141204259]]}";48.8442248738, 2.32027884966
2651;8449.0;710;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.321320811224139, 48.82551308753579], [2.319429961654745, 48.82470172824154]]}";48.8251074079, 2.32037538644
2667;8467.0;1173;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.304476692170728, 48.826593449801365], [2.304066467736528, 48.825240727905715]]}";48.8259170889, 2.30427157995
2670;8470.0;1051;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.298877474281071, 48.82901199687855], [2.301217419282769, 48.828487013548994]]}";48.8287495052, 2.30004744678
2676;8476.0;1032;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.274475539392718, 48.83703313054462], [2.272845328802509, 48.83754507906129], [2.271764774362839, 48.83792778158465], [2.270812948879199, 48.83831397792223]]}";48.8376412669, 2.27263273277
2683;8483.0;4636;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.263664994745851, 48.84149556767787], [2.261962758475938, 48.842269768112], [2.26020588646267, 48.8431673750164]]}";48.8423118073, 2.2619259516
